title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description						
AMR_measurement_sign menu	AmrMeasurementSignMenu	GENEPIO:0001002	less than (<) [GENEPIO:0001002]					The "less than" comparator indicates that a given substance was present at less than a given quantity or concentration.						
		GENEPIO:0001003	less than or equal to (<=) [GENEPIO:0001003]					The "less than or equal to" comparator indicates that a given substance was present at less than or equal to a given quantity or concentration.						
		GENEPIO:0001004	equal to (==) [GENEPIO:0001004]					The "equal to" comparator indicates that a given substance was present at the given quantity or concentration.						
		GENEPIO:0001006	greater than (>) [GENEPIO:0001006]					The "greater than" comparator indicates that a given substance was present at greater than a given quantity or concentration.						
		GENEPIO:0001005	greater than or equal to (>=) [GENEPIO:0001005]					The "greater than or equal to" comparator indicates that a given substance was present at greater than or equal to a given quantity or concentration.						
														
														
AMR_laboratory_typing_method menu	AmrLaboratoryTypingMethodMenu	NCIT:85595	Agar diffusion [NCIT:85595]					A method to determine microbial susceptibility to antibiotics wherein bacteria are inoculated onto agar plates and the antimicrobial agent diffused onto the agar plate from a filter paper disk. An approximate, but not exact, MIC is determined by the diameter of growth inhibition zones. This method has been found to have good correlation between in-vivo data and in-vitro data. [ http://www.ncbi.nlm.nih.gov/pubmed/29403965 ]						
		NCIT:85596		Antimicrobial gradient (E-test) [NCIT:85596]				A method to determine microbial susceptibility to antibiotics in which a plastic strip impregnated with the antibiotic of interest is placed on an agar plate that has been inoculated with bacteria. The antibiotic diffuses from the strip producing a concentration gradient of drug on the agar. The point at which the elliptical shaped area of growth inhibition meets the strip is the minimum inhibitory concentration of the drug of interest. [ http://www.ncbi.nlm.nih.gov/pubmed/29403965 ]						
		ARO:3004411	Agar dilution [ARO:3004411]					In this method, bacteria are inoculated onto agar plates and the antimicrobial agent is injected into the plate and allowed to diffuse. [ http://www.ncbi.nlm.nih.gov/pubmed/29403965 ]						
		ARO:3004397	Broth dilution [ARO:3004397]					The microbial species are inoculated in liquid growth medium containing incremental dilutions (usually 2-fold) of the antimicrobial agent.						
														
														
AMR_laboratory_typing_platform menu	AmrLaboratoryTypingPlatformMenu	ARO:3007569	BIOMIC Microbiology System [ARO:3007569]					Specific automated system of analysis for determining antimicrobial susceptibility developed by Giles Scientific.						
		ARO:3004400	Microscan [ARO:3004400]					Specific automated system of analysis for determining antimicrobial susceptibility developed by Omron.						
		ARO:3004401	Phoenix [ARO:3004401]					Specific automated system of analysis for determining antimicrobial susceptibility developed by Becton Dickinson.						
		ARO:3004402	Sensititre [ARO:3004402]					Specific automated system of analysis for determining antimicrobial susceptibility developed by ThermoFisher Scientific.						
		ARO:3004403	Vitek System [ARO:3004403]					Specific automated system of analysis for determining antimicrobial susceptibility developed by bioMérieux.						
														
AMR_vendor_name menu		ARO:3004405	Becton Dickinson [ARO:3004405]					Specific vendor of automated system of analysis for determining antimicrobial susceptibility headquartered in New Jersey, USA. Becton Dickinson is the developer of the Phoenix automated testing platform.						
		ARO:3004406	bioMérieux [ARO:3004406]					Specific vendor of automated system of analysis for determining antimicrobial susceptibility headquartered in France. bioMérieux is the developer of the Vitek automated testing platform.						
		ARO:3004408	Omron [ARO:3004408]					Specific vendor of automated system of analysis for determining antimicrobial susceptibility based in Japan. Omron is the developer of the MicroScan automated testing platform.						
		ARO:3004407	Siemens [ARO:3004407]					Specific vendor of automated system of analysis for determining antimicrobial susceptibility headquartered in Berlin and Munich.						
		ARO:3004409	Trek [ARO:3004409]					Specific vendor of automated system of analysis for determining antimicrobial susceptibility that was acquired by Thermo Fisher Scientific Inc. Thermo Fisher Scienfiic Inc. is headquartered in Massachusetts, USA. Trek is the developer of the Sensitire automated testing platform.						
														
														
AMR_testing_standard menu	AmrTestingStandardMenu	ARO:3004365	British Society for Antimicrobial Chemotherapy (BSAC) [ARO:3004365]											
		ARO:3004366	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]											
		ARO:3004367	Deutsches Institut für Normung (DIN) [ARO:3004367]											
		ARO:3004368	European Committee on Antimicrobial Susceptibility Testing (EUCAST) [ARO:3004368]											
		ARO:3007195	National Antimicrobial Resistance Monitoring System (NARMS) [ARO:3007195]											
		ARO:3007193	National Committee for Clinical Laboratory Standards (NCCLS) [ARO:3007193]											
		ARO:3004369	Société Française de Microbiologie (SFM) [ARO:3004369]											
		ARO:3007397	Swedish Reference Group for Antibiotics (SIR) [ARO:3007397]											
		ARO:3007398	Werkgroep Richtlijnen Gevoeligheidsbepalingen (WRG) [ARO:3007398]											
														
geo_loc_name_(country) menu	GeoLocNameCountryMenu	GAZ:00006882	Afghanistan [GAZ:00006882]											
		GAZ:00002953	Albania [GAZ:00002953]					A landlocked country that is located approximately in the center of Asia. It is bordered by Pakistan in the south and east Iran in the west, Turkmenistan, Uzbekistan and Tajikistan in the north, and China in the far northeast. Afghanistan is administratively divided into thirty-four (34) provinces (welayats). Each province is then divided into many provincial districts, and each district normally covers a city or several townships. [ url:http://en.wikipedia.org/wiki/Afghanistan ]						
		GAZ:00000563	Algeria [GAZ:00000563]					A country in South Eastern Europe. Albania is bordered by Greece to the south-east, Montenegro to the north, Kosovo to the northeast, and the Republic of Macedonia to the east. It has a coast on the Adriatic Sea to the west, and on the Ionian Sea to the southwest. From the Strait of Otranto, Albania is less than 100 km from Italy. Albania is divided into 12 administrative divisions called (Albanian: official qark/qarku, but often prefekture/prefektura Counties), 36 districts (Rrethe) and 351 municipalities (Bashkia) and communes (Komuna). [ url:http://en.wikipedia.org/wiki/Albania ]						
		GAZ:00003957	American Samoa [GAZ:00003957]					A country in North Africa. It is bordered by Tunisia in the northeast, Libya in the east, Niger in the southeast, Mali and Mauritania in the southwest, a few km of the Western Sahara in the west, Morocco in the northwest, and the Mediterranean Sea in the north. It divided into 48 provinces (wilayas), 553 districts (dairas) and 1,541 municipalities (communes, baladiyahs). [ url:http://en.wikipedia.org/wiki/Algeria ]						
		GAZ:00002948	Andorra [GAZ:00002948]					An unincorporated territory of the United States located in the South Pacific Ocean, southeast of the sovereign State of Samoa. The main (largest and most populous) island is Tutuila, with the Manu'a Islands, Rose Atoll, and Swains Island also included in the territory. [ url:http://en.wikipedia.org/wiki/American_Samoa ]						
		GAZ:00001095	Angola [GAZ:00001095]					A small landlocked country in western Europe, located in the eastern Pyrenees mountains and bordered by Spain (Catalonia) and France. Andorra consists of seven communities known as parishes (Catalan: parroquies, singular - parroquia). Until relatively recently, it had only six parishes; the seventh, Escaldes-Engordany, was created in 1978. Some parishes have a further territorial subdivision. Ordino, La Massana and Sant Julia de Loria are subdivided into quarts (quarters), while Canillo is subdivided into veinats (neighborhoods). Those mostly coincide with villages, which are found in all parishes. [ url:http://en.wikipedia.org/wiki/Andorra ]						
		GAZ:00009159	Anguilla [GAZ:00009159]					A country in south-central Africa bordering Namibia to the south, Democratic Republic of the Congo to the north, and Zambia to the east, and with a west coast along the Atlantic Ocean. The exclave province Cabinda has a border with the Republic of the Congo and the Democratic Republic of the Congo. [ url:http://en.wikipedia.org/wiki/Angola ]						
		GAZ:00000462	Antarctica [GAZ:00000462]					A British overseas territory in the Caribbean, one of the most northerly of the Leeward Islands in the Lesser Antilles. It consists of the main island of Anguilla itself, approximately 26 km long by 5 km wide at its widest point, together with a number of much smaller islands and cays with no permanent population. [ url:http://en.wikipedia.org/wiki/Anguila ]						
		GAZ:00006883	Antigua and Barbuda [GAZ:00006883]					The Earth's southernmost continent, overlying the South Pole. It is situated in the southern hemisphere, almost entirely south of the Antarctic Circle, and is surrounded by the Southern Ocean. [ url:http://en.wikipedia.org/wiki/Antarctica ]						
		GAZ:00002928	Argentina [GAZ:00002928]					An island nation located on the eastern boundary of the Caribbean Sea with the Atlantic Ocean. [ url:http://en.wikipedia.org/wiki/Antigua_and_Barbuda ]						
		GAZ:00004094	Armenia [GAZ:00004094]					A South American country, constituted as a federation of twenty-three provinces and an autonomous city. It is bordered by Paraguay and Bolivia in the north, Brazil and Uruguay in the northeast, and Chile in the west and south. The country claims the British controlled territories of the Falkland Islands and South Georgia and the South Sandwich Islands. Argentina also claims 969,464 km2 of Antarctica, known as Argentine Antarctica, overlapping other claims made by Chile and the United Kingdom. Argentina is subdivided into twenty-three provinces (Spanish: provincias, singular provincia) and one federal district (Capital de la Republica or Capital de la Nacion, informally the Capital Federal). The federal district and the provinces have their own constitutions, but exist under a federal system. Provinces are then divided into departments (Spanish: departamentos, singular departamento), except for Buenos Aires Province, which is divided into partidos. [ url:http://en.wikipedia.org/wiki/Argentina ]						
		GAZ:00004025	Aruba [GAZ:00004025]					A landlocked mountainous country in Eurasia between the Black Sea and the Caspian Sea in the Southern Caucasus. It borders Turkey to the west, Georgia to the north, Azerbaijan to the east, and Iran and the Nakhchivan exclave of Azerbaijan to the south. A transcontinental country at the juncture of Eastern Europe and Western Asia. A former republic of the Soviet Union. Armenia is divided into ten marzes (provinces, singular marz), with the city (kaghak) of Yerevan having special administrative status as the country's capital. [ url:http://en.wikipedia.org/wiki/Armenia ]						
